"International Activity Name","Description","IA Country","Activity Type"
"Higher Education Video Game Alliance (HEVGA)","Our mission is to create a platform for higher education leaders which will underscore the cultural, scientific, and economic importance of video game programs in colleges and universities. The key is to create a robust network of resources—including unified advocacy, policymaker engagement, media coverage, and external funding—in order to incubate and harness the impact of this community in a 21st-century learning environment.  HEVGA has a network of more than 175 global member institutions, issues annual reports on the global state of game focused education, and conducts workshops, training, and events to support game educators.

Learn more at https://hevga.org/about/","Japan","Service Activities"
"Petty Offense Communication Workshop","1-day workshop with international human rights advocates dedicated to decriminalizing petty offenses and therefore poverty and homelessness. Participants were invited ahead of a 2-day symposium hosted by the School of Law's Human Rights Clinic. 25 people from across Africa (including South Africa, Nigeria, Kenya, Uganda) Caribbean, Israel, and the US received communication training re: media interviews, social media, design thinking for specific audiences and contexts, and storytelling in general. Sessions lead by School of Communication faculty, Miami journalists, and members of Open Society Foundations, which sponsored the workshop.","Kenya","Education"
"Study Abroad in East Africa","This study-abroad activity was proposed by professors Jyotika Ramaprasad and Tsitsi D. Wakhisi. It was offered last year, but we did not have enough students to sign up. It would be offered again if students could get help with funding. Partner institutions including universities, newspapers, TV stations, PR agencies, and NGOs in Kenya and Zanzibar.","Kenya","Education"
"International Water Conversation Magazine: OneWater.org, Creator, Editor","Prize-winning International magazine on drinking water and sanitation, editor, creator..","Kenya","Research"
"Producer of Mi Amor - A Feature Film","Professor Sanjeev Chatterjee produced the feature film ""Mi Amor"" with 2 Indian film stars. The film was shot entirely in Miami and premiered at Busan Film Festival, South Korea in 2017.","Korea, Rep.","Research"
"Public Relations and Internal Communication research in South Korea, Italy, US","Dr. Lee's research focuses on public relations and internal communication practices in a global setting. She has examined and compared organizations' internal communication programs and employee behaviors in U.S., South Korea, and Italy.","Korea, Rep.","Research"
"Petty Offense Communication Workshop","1-day workshop with international human rights advocates dedicated to decriminalizing petty offenses and therefore poverty and homelessness. Participants were invited ahead of a 2-day symposium hosted by the School of Law's Human Rights Clinic. 25 people from across Africa (including South Africa, Nigeria, Kenya, Uganda) Caribbean, Israel, and the US received communication training re: media interviews, social media, design thinking for specific audiences and contexts, and storytelling in general. Sessions lead by School of Communication faculty, Miami journalists, and members of Open Society Foundations, which sponsored the workshop.","Madagascar","Education"
"External Dissertation Examiner","Dr. Sallie Hughes performed as an external examiner for a PhD candidate's dissertation at the University of Leeds, UK.","Mexico","Education"
"Hemispheric University Consortium - Ocean Health Voyage","Produced by the School of Communication at the University of Miami, the Ocean Health Voyage is a groundbreaking online course that is filmed professionally in ten international locations and taught by some of the most distinguished marine scientists around the world. So far, 7 out of 14  Hemispheric University Consortium universities have confirmed its scheduling for Spring 2020, with faculty from each of them leading the course locally and collaborating among all of them, to have their students work together, hemispherically, in the course’s required projects.","Mexico","Education"
"Professional Autonomy in Journalism","Professional autonomy has usually been defined in terms of journalists’ perceptions of their control over their work vis-à-vis organizational supervisors. Using surveys of journalists in Colombia and Mexico, we identify two dimensions of perceived autonomy: first, control over story development tasks (the traditional understanding of autonomy in empirical studies); second, the ability to actually publish news on a range of subjects associated with different levels of material or cultural power. We then identify the predictors of both dimensions of autonomy. Physical threats, overlapping forms of inequality, and clientelism characterize pressures on autonomy in these two democracies. Journalists can carve out more space for autonomy by gaining professional experience or by creating new organizational arrangements and supporting analytical, change-oriented norms. By examining professional autonomy empirically in a broad range of contexts, we demonstrate that autonomy is more complex, situational, and historically contingent than previously believed. https://journals.sagepub.com/doi/abs/10.1177/1464884916659409?journalCode=joua","Mexico","Research"
"Mexico in Worlds of Journalism Study","Nation survey of working journalist in Mexico on practices, influences, ethics, cultures.","Mexico","Research"
"Worlds of Journalism Study - Latin American and Caribbean Network (WJS3-LAC)","The Worlds of Journalism Study is the largest comparative study of working journalists in the world. It uses a comparative survey-based methodology. In the second wave researchers in or working on 60 countries interviewed more than 22,000 journalists about professional worldviews, working conditions, professional autonomy, and influences on work. For the third round journalist safety and risk, precarity and epistemology (views of fact-based truth) will also be studied. Dr. Sallie Hughes coordinates researchers in or working on 15 countries in Latin America and the Caribbean who are participating in the third round.","Mexico","Research"
"The Worlds of Journalism Study","The Worlds of Journalism Study was founded in 2010 to assess the state of journalism throughout the world. The study’s main objective is to help journalism researchers, media practitioners and policy makers better understand the worldviews and changes that are taking place in the professional views of journalists, the conditions and limitations under which journalists operate, and the social functions of journalism in a changing world.

A joint effort of researchers from around the world, the project aspires to the highest standards of scientific collaboration and collective publishing. In so doing, WJS has become a driver of comparative research in journalism studies, and an institutional home for those who engage in it. The basic principles of cooperation are formulated in the study’s Statute. The study is hosted at LMU Munich and is funded by multiple organizations. Please see www.worldsofjournalism.org for more information.","Mexico","Research"
"The Journalism at Risk Project: Retreat, Resistance, Renewal and Resiliency","This study measures multiple impacts of the hostile media environment across the Western Hemisphere on journalists as human beings with fundamental rights and as actors in a societal institution with vital importance for the quality of democracy and society. It further assesses how journalists are coping with hostile conditions and offers recommendations to increase support for journalists to journalist associations, news media organizations, NGOs, IGOs, and allies in governments. Researchers in Journalism Studies and Psychology participate in the study.","Mexico","Research"
"Journalism in Insecure Democracies","Collaboration with colleagues in Mexico, El Salvador, Colombia and South Africa to research and write the research article, ""Expanding Influences Research to Insecure Democracies: How Violence, Public Insecurity, Economic Inequality, and Uneven Democratic Performance Shape Journalists’ Perceived Work"".

Abstract
Democracies with sharp violence and public insecurity have proliferated in recent decades, with many also featuring extreme economic inequality. These conditions have not been explicitly considered in comparative research on journalists’ work environments, an omission that may obscure important realities of contemporary journalism. We address this gap through an analysis of journalist surveys in 62 countries. We confirm the existence of insecure democracies as an empirical phenomenon and begin to unravel their meaning for journalists. We find democracies with uneven democratic performance tend to have more journalist assassinations, which is the most extreme form of influence on work, and that levels of democratic performance, violence, public insecurity, and economic inequality significantly shape how journalists perceive various influences in their work environment. Case studies of insecure democracies in Africa and Latin America address why these conditions sometimes (but not always) lead to journalist assassinations and other anti-press violence. They suggest anti-press violence is higher when sub-national state actors intensify criminal violence and when insecurity is geographically and topically proximate to journalists. How journalists perceive influences on work are therefore more complex and multidimensional than previous research has suggested. The study concludes by identifying areas for improvement in data collection. 

Learn More @ https://www.tandfonline.com/doi/abs/10.1080/1461670X.2016.1266278","Mexico","Research"
"Psychological Support for Journalists Experiencing Occupational Stress","Journalism has become a high-risk, high-stress occupation in many countries around the world, but especially in societies where public insecurity, violence and impunity prevail. Mexico is both emblematic and extreme in this regard, with 95 journalist assassinations, 20 disappearances, and 3594 other aggressions against journalists documented since 2006, according to the Mexico City office of the international press rights organization Article 19. Besides physical and verbal attacks, journalists in Mexico and elsewhere are often subjected to difficult labor conditions such as poor pay, lack of benefits, long hours and fast pace of work that provoke high levels of occupational stress. In the last year, Mexican female journalists have been denouncing sexual harassment and assault, like female journalists around the world, under the Twitter hashtag #metooperiodistas. Consequently, the negative effects on mental health and quality of life for journalists and for their families can be devastating. Nevertheless, the attention to their mental health, broadly conceptualized, has been extremely limited and sporadic at best.

This first phase of the study consisted of online interviews with journalists in Mexico and Brazil to identify their perceptions about the levels and sources of occupational stress they experience, coping strategies they engage in, whether they believe these strategies are successful and their ideas for how they could be better supported.

Based upon findings from phase one, our objective for phase two of the  project is to design, test and implement an “app” or “serious game” that will provide “psychological first aid” to journalists experiencing acute symptoms of stress. We rely upon the psychological expertise of Dr. Hilda Fernández de Ortega Bárcenas, who is head of graduate studies in the Department of Psychology at UDLAP;  Hughes'  experience as a social science researcher of Journalism, Journalist Safety, Politics and Media in Mexico and elsewhere in Latin America; and the expertise of UM Associate Professor Clay Ewing, who is a designer of “serious games” with social impact.  

The intervention will be designed to address the immediate symptoms of occupational stress journalists experience in order to ameliorate the negative impact of stressful situations or events and to promote the development of adaptive coping strategies to improve their mental health and ultimately the well-being. The participation of journalist associations and human rights organizations will be essential to the success of the project since they are in close contact with journalists in distress and have earned the trust of these journalists.

This first phase of the study is being extended to Venezuela, Colombia and possibly the US. We intend to extend the app or game to these contexts after the pilot is finished in Mexico.","Mexico","Research"
"Colloquium on Anniversary of Book, ""Newsrooms in Conflict""","This was a colloquium on the continuing relevance of the book, Newsrooms in Conflict: Journalism and the Democratization of Mexico, written by Dr. Sallie Hughes. 

The book's description is here and below: https://upittpress.org/books/9780822959281/

""Newsrooms in Conflict examines the dramatic changes within Mexican society, politics, and journalism that transformed an authoritarian media institution into many conflicting styles of journalism with very different implications for deepening democracy in the country. Using extensive interviews with journalists and content analysis spanning more than two decades, Sallie Hughes identifies the patterns of newsroom transformation that explain how Mexican journalism was changed from a passive and even collusive institution into conflicting clusters of news organizations exhibiting citizen-oriented, market-driven, and adaptive authoritarian tendencies. Hughes explores the factors that brought about this transformation, including not only the democratic upheaval within Mexico and the role of the market, but also the diffusion of ideas, the transformation of professional identities and, most significantly, the profound changes made within the newsrooms themselves. From the Zapatista rebellion to the political bribery scandals that rocked the nation, Hughes's investigation presents a groundbreaking model of the sociopolitical transformation of a media institution within a new democracy, and the rise and subsequent stagnation of citizen-focused journalism after that democracy were established.""","Mexico","Research"
"National Mexican Journalism Studies Research Network","Researchers from 11 Mexican and US academic institutions have formed the National Journalism Studies Research Network to carry out the Worlds of Journalism III – Mexico. The research network will generate data to better understand and explain the reality of journalism in Mexico and compare Mexican journalists on a global scale through a rigorous methodology of nationally based surveys. In its previous phase (2012-2015), the groundbreaking international project produced information about journalists and journalism through more than 22,000 interviews of working journalists in 66 countries, including Mexico.

The principle objective of the study is to help researchers, journalists, members of civil society and political actors to better understand journalists’ worldviews and professional orientations, the conditions and limitations under which they operate, and the social functions of journalism in a changing world. In the third phase of the study topics such as the security and resiliency of journalists worldwide will be a priority.

    The researchers who make up the network agree to apply the survey questionnaire in all regions of the country, as well as verify and systematize data collected nationally during this process.

            The work began on March 28 and 29 at the Center for Research and Teaching in Economics (CIDE), in Mexico City, where the participants formed operational committees and made agreements about the study methodology and sampling.

The University of Miami Institute for Advanced Study of the Americas (UMIA), with the CIDE and Iberoamerican University-Mexico City, organized and sponsored the workshop where the network was formed.

Members of the network include:
    
Dr. Sallie Hughes, Institute for Advanced Studies of the Americas (UMIA) and Department of Journalism and Media Management, University of Miami

Dr. Sergio Rodríguez-Blanco, Communication Department, Universidad Iberoamericana

Dr. Grisel Salazar Rebolledo, Journalism Program, Centro de Investigación y Docencia Económicas

Professor Eva Alejandra Ávila Beltrán, Universidad Autónoma de Baja California

Dr. Julieta Brambila, Communication Sciences Department, Universidad de las Américas Puebla
 
Dr. Judith Cruz Sandoval, Communication Sciences Department, Universidad de las Américas Puebla

Dr. Celia del Palacio Montiel, Center for Cultural and Communication Studies, Universidad Veracruzana

Dr. Martín Echeverría Victoria, Government Sciences and Strategic Development Institute, Benemérita Universidad Autónoma de Puebla

Dr. Hilda Fernández de Ortega Bárcenas, Psychology Department, Universidad de las Américas Puebla

Dr. Rubén Arnoldo González Macías, Government Sciences and Strategic Development Institute, Benemérita Universidad Autónoma de Puebla

Dr. Armando Gutiérrez Ortega, Universidad Autónoma de Baja California. Asociación Binacional de Escuelas de Comunicación / Binational Association of Communication Schools
 
Dr. José Carlos Lozano, Instituto Tecnológico de Monterrey / Texas A&M International University 

Dr. Jessica Retis, California State University-Northridge. Asociación Binacional de Escuelas de Comunicación / Binational Association of Communication Schools

Dr. Frida V. Rodelo, Department of Communication Studies, Universidad de Guadalajara","Mexico","Research"
"Making a Life in Multiethnic Miami - Research and Lectures","Dr. Sallie Hughes' 2014 co-authored book, Making a Life in Multiethnic Miami: Immigration and the Rise of a Global City, engaged immigrant communities in Miami from Colombia, Cuba, Dominican Republic, Haiti, Mexico, and Peru, and migrants from Puerto Rico. I have published follow up research with this groups in 2019. I have also given guest lectures to universities that bring students to Miami to study immigration including University of Scranton and St. Olaf's College.

Book: https://www.rienner.com/title/Making_a_Life_in_Multiethnic_Miami_Immigration_and_the_Rise_of_a_Global_City

Article: The Latino/a audience unbound: Intra-ethnic social hierarchies and Spanish-language television news https://link.springer.com/article/10.1057/s41276-017-0107-6","Mexico","Research"
"Higher Education Video Game Alliance (HEVGA)","Our mission is to create a platform for higher education leaders which will underscore the cultural, scientific, and economic importance of video game programs in colleges and universities. The key is to create a robust network of resources—including unified advocacy, policymaker engagement, media coverage, and external funding—in order to incubate and harness the impact of this community in a 21st-century learning environment.  HEVGA has a network of more than 175 global member institutions, issues annual reports on the global state of game focused education, and conducts workshops, training, and events to support game educators.

Learn more at https://hevga.org/about/","Mexico","Service Activities"
"Binational Schools of Communication Association (Binacom) - Keynote","Dr. Sallie Hughes delivered a keynote address for the biennial ""Encuentro"" of the Binational Schools of Communication Association (Binacom). Dr. Hughes also joined the association. This is an association of departments and schools of communication on both sides of the Mexico-US border. She also gave a talk to the fellows at the US-Mexico Center and the professors at the Department of Communication at UCSD.","Mexico","Service Activities"
"Presentation at CENTRO School of Design","Public presentation at CENTRO (http://www.centro.edu.mx/) and discussing possible ties with the University of Miami. President Julio Frenk visited this school recently to discuss exactly the same thing","Mexico","Service Activities"
"Study Abroad Paris/Amsterdam","This summer study abroad course involves photography and filmmaking in Paris and Amsterdam.","Netherlands","Education"
"Workshop on Music Similarity: Concepts, Cognition and Computation","Working with researchers in foreign universities in France, the Netherlands, Singapore, and the U.S., to organize international conferences and workshop
Scientific advisory committee for the International Workshop on Music Similarity: Concepts, Cognition and Computation, January 19-23, 2015,  Lorentz Center, Leiden, the Netherlands","Netherlands","Research"
"International Workshop on Deep Learning for Music","Dr. Ching-Hua Chuan worked with researchers in foreign universities in France, the Netherlands, Singapore, and the U.S., to organize the International Workshop on Deep Learning for Music, May 18-19, 2017, Anchorage","Netherlands","Research"
"International Workshop on Music, Computing, and Health","International Workshop on Music, Computing, and Health, May 4-8, 2019, Lorentz center, Leiden, the Netherlands","Netherlands","Research"
"Petty Offense Communication Workshop","1-day workshop with international human rights advocates dedicated to decriminalizing petty offenses and therefore poverty and homelessness. Participants were invited ahead of a 2-day symposium hosted by the School of Law's Human Rights Clinic. 25 people from across Africa (including South Africa, Nigeria, Kenya, Uganda) Caribbean, Israel, and the US received communication training re: media interviews, social media, design thinking for specific audiences and contexts, and storytelling in general. Sessions lead by School of Communication faculty, Miami journalists, and members of Open Society Foundations, which sponsored the workshop.","Nigeria","Education"
"International Exchange Program, Board Member, Global Ties, State Dept. Affiliate","Board Member since 2010. International government,  community leaders come to UM to engage  students and faculty.","Nigeria","Education"
"Doctor-Roma Patient Interactions in Prilep, Macedonia","This is a project that is trying to better the interactions between the Roma and doctors in Prilep. After a phase one of formative research, we completed a phase two of creating and evaluating a video intervention.","North Macedonia","Research"
"International Exchange Program, Board Member, Global Ties, State Dept. Affiliate","Board Member since 2010. International government,  community leaders come to UM to engage  students and faculty.","Pakistan","Education"
"Humans vs. Mosquitoes","Humans vs. Mosquitoes is a simple non-digital game for social impact that educates players about the relationship between humans, mosquitoes, vector-borne diseases and the environment. Originally designed in 2011, the game has been used by facilitators in at least 4 continents as a fun and engaging way to teach audiences about vector-borne diseases. The game has been modified and adapted to work in various geographic regions as well as with different audiences. Humans vs. Mosquitoes can be played as an active physical play-based game, a thoughtful card game, and even with nothing but a set of instructions and a set of gestures.","Panama","Research"
"Worlds of Journalism Study - Latin American and Caribbean Network (WJS3-LAC)","The Worlds of Journalism Study is the largest comparative study of working journalists in the world. It uses a comparative survey-based methodology. In the second wave researchers in or working on 60 countries interviewed more than 22,000 journalists about professional worldviews, working conditions, professional autonomy, and influences on work. For the third round journalist safety and risk, precarity and epistemology (views of fact-based truth) will also be studied. Dr. Sallie Hughes coordinates researchers in or working on 15 countries in Latin America and the Caribbean who are participating in the third round.","Paraguay","Research"
"Worlds of Journalism Study - Latin American and Caribbean Network (WJS3-LAC)","The Worlds of Journalism Study is the largest comparative study of working journalists in the world. It uses a comparative survey-based methodology. In the second wave researchers in or working on 60 countries interviewed more than 22,000 journalists about professional worldviews, working conditions, professional autonomy, and influences on work. For the third round journalist safety and risk, precarity and epistemology (views of fact-based truth) will also be studied. Dr. Sallie Hughes coordinates researchers in or working on 15 countries in Latin America and the Caribbean who are participating in the third round.","Peru","Research"
"Research Trip on Foodways of Amazon Tribe in Peru","Professor Sanjeev Chatterjee undertook a research trip to Totolla village in Northern Peru to explore the footways of an ancient Amazonian tribe. This is part of a global documentary project I am developing.","Peru","Research"
"Documentary on Agricultural Subjugation in Peru","The film is a study of agricultural subjugation in Peru. How the cacao bean is cultivated, processed, priced and eventual sold and used outside of the country.","Peru","Research"
"Worlds of Journalism Study - Latin American and Caribbean Network (WJS3-LAC)","The Worlds of Journalism Study is the largest comparative study of working journalists in the world. It uses a comparative survey-based methodology. In the second wave researchers in or working on 60 countries interviewed more than 22,000 journalists about professional worldviews, working conditions, professional autonomy, and influences on work. For the third round journalist safety and risk, precarity and epistemology (views of fact-based truth) will also be studied. Dr. Sallie Hughes coordinates researchers in or working on 15 countries in Latin America and the Caribbean who are participating in the third round.","Puerto Rico","Research"
"Puerto Rico , Research, Survival of Art Museums, Hurricane Maria","Professor Treaster wrote a newspaper article on Puerto Rican Art Museums and Surviving Hurricane Maria.","Puerto Rico","Research"
"Environmental PCBs in Guánica Bay, Puerto Rico Implications for Community Health","Environmental PCBs in Guánica Bay, Puerto Rico: implications for community health.
https://www.ncbi.nlm.nih.gov/pubmed/26122576
Abstract
Guánica Bay, located in southwestern Puerto Rico, has suffered oil spills and other pollution discharges since the 1960s. Previous research showed elevated concentrations of polychlorinated biphenyls (PCBs) in coral reef and sediment. This research examined PCB concentrations in sediment and fish. Sediment and fish sampling in the bay was facilitated by community members. This study identified the second highest reported PCB level (129,300 ng/g) in sediment in the USA. Fish samples also showed elevated concentrations (1623 to 3768 ng/g), which were higher than the thresholds of safe levels of PCBs in fish for human consumption. The alarmingly high concentration of PCBs calls for proactive community engagement to bring awareness about contamination of the bay and more extensive sampling to test for the concentration of PCBs in seafood and the people of Guánica. This study also underscores the value of the involvement of local communities during sampling design aimed at identifying hot spots of contaminants.
KEYWORDS:
Community-based participatory approach; Fish; Guánica; Health risks; PCB; PCB exposure; Sediment","Puerto Rico","Research"
"NY Times article, Art Project on Problems of Puerto Rico Economy","Professor Treaster reported, wrote and published an article in the New York Times profiling an artist and  project centered on Puerto Rico's economic troubles.","Puerto Rico","Research"
"Fulbright Scholar Program and Senior Scholar Program Reviewer","Review applications. This one was for Fulbright Senior Award Program (visiting scholar) for Romania, Romanian Program, U.S. Fulbright Commission, Bucharest, Institute for International Education, Department of Scholar and Professional Programs, Council for International Exchange of Scholars, Washington, D.C.,","Romania","Service Activities"
"A Qualitative Study of Journalists from the BRICS Countries","This was a qualitative study of journalists from the BRICS countries. It studied these journalists' perceptions and beliefs about various work-related matters.

As part of a larger study of BRICS journalists, I collected data for two of the four selected cities in India. The empirical data from all BRICS countries was presented in a book I co-edited. Publications include the following:

Ramaprasad, J., Dubey, S., Masood, Z. (2018). News under pressure: Corporate and political ownership influence on journalists in India. International Communication Research Journal, , 53(2), 3-27.

Pasti, S., & Ramaprasad, J. (Eds.). (2015). The BRICS journalist: Profession and practice in the age of digital media [Special Issue]. African Journalism Studies, 36(3).

Pasti, S., & Ramaprasad, J. (2016). Digitalization and journalists in the BRICS countries. Brazilian Journalism Research, 12, 12-33.

Ramaprasad, J., Gudipaty, N., & Vemula, R. V. (2015). Indian journalists: Personal passion, organizational dynamics, and environmental forces. African Journalism Studies, 36(3), 61-86.

Pasti, S., & Ramaprasad, J. (2015). The BRICS journalist within the changing dynamics of the early 21st century [Editorial]. African Journalism Studies, 36(3), 1-7.

Pasti, S., & Ramaprasad, J. (Eds.). (2018). Contemporary BRICS Journalism: Non-Western Media in Transition. NY: Routledge.

Pasti, S., & Ramaprasad, J. (2017). Introduction: Why BRICS journalism matters. In S. Pasti, & J. Ramaprasad (Eds.), Contemporary BRICS journalism: Non-Western media in transition (pp. 1-20). NY: Routledge.

Ramaprasad, J., Pasti, S., Paulino, F. O., Zhou, R., & Ndlovu, M. (2017). Professionalism: Continuities and change. In S. Pasti, & J. Ramaprasad (Eds.), Contemporary BRICS journalism: Non-Western media in transition (pp. 23-48). NY: Routledge.

Wasserman, H., Ramaprasad, J., Sodré, M., Anikina, M., Vemula, R. K., & Xu, Y. (2017). Newsmaking: Navigating digital territory. In S. Pasti, & J. Ramaprasad (Eds.), Contemporary BRICS journalism: Non-Western media in transition (pp. 49-71). NY: Routledge.

Ramaprasad, J., Ji, D., Zhou, R., Paulino, F. O., Pasti, S., Gavra, D., Wasserman, H., & Ndlovu, M. (2017). Ethics: Ideals and realities. In S. Pasti, & J. Ramaprasad (Eds.), Contemporary BRICS journalism: Non-Western media in transition (pp. 72-103). NY: Routledge.

Gudipaty, N., Ramaprasad, J., Pasti, S., Lago, C., Li, X., & Rodny-Gumede, Y. (2017). Gender: Towards equality? In S. Pasti, & J. Ramaprasad (Eds.), Contemporary BRICS journalism: Non-Western media in transition (pp. 104-129). NY: Routledge.","Russian Federation","Research"
"International Workshop on Deep Learning for Music","Dr. Ching-Hua Chuan worked with researchers in foreign universities in France, the Netherlands, Singapore, and the U.S., to organize the International Workshop on Deep Learning for Music, May 18-19, 2017, Anchorage","Singapore","Research"
"Higher Education Video Game Alliance (HEVGA)","Our mission is to create a platform for higher education leaders which will underscore the cultural, scientific, and economic importance of video game programs in colleges and universities. The key is to create a robust network of resources—including unified advocacy, policymaker engagement, media coverage, and external funding—in order to incubate and harness the impact of this community in a 21st-century learning environment.  HEVGA has a network of more than 175 global member institutions, issues annual reports on the global state of game focused education, and conducts workshops, training, and events to support game educators.

Learn more at https://hevga.org/about/","Singapore","Service Activities"
"Higher Education Video Game Alliance (HEVGA)","Our mission is to create a platform for higher education leaders which will underscore the cultural, scientific, and economic importance of video game programs in colleges and universities. The key is to create a robust network of resources—including unified advocacy, policymaker engagement, media coverage, and external funding—in order to incubate and harness the impact of this community in a 21st-century learning environment.  HEVGA has a network of more than 175 global member institutions, issues annual reports on the global state of game focused education, and conducts workshops, training, and events to support game educators.

Learn more at https://hevga.org/about/","Slovak Republic","Service Activities"
"Petty Offense Communication Workshop","1-day workshop with international human rights advocates dedicated to decriminalizing petty offenses and therefore poverty and homelessness. Participants were invited ahead of a 2-day symposium hosted by the School of Law's Human Rights Clinic. 25 people from across Africa (including South Africa, Nigeria, Kenya, Uganda) Caribbean, Israel, and the US received communication training re: media interviews, social media, design thinking for specific audiences and contexts, and storytelling in general. Sessions lead by School of Communication faculty, Miami journalists, and members of Open Society Foundations, which sponsored the workshop.","South Africa","Education"
"A Qualitative Study of Journalists from the BRICS Countries","This was a qualitative study of journalists from the BRICS countries. It studied these journalists' perceptions and beliefs about various work-related matters.

As part of a larger study of BRICS journalists, I collected data for two of the four selected cities in India. The empirical data from all BRICS countries was presented in a book I co-edited. Publications include the following:

Ramaprasad, J., Dubey, S., Masood, Z. (2018). News under pressure: Corporate and political ownership influence on journalists in India. International Communication Research Journal, , 53(2), 3-27.

Pasti, S., & Ramaprasad, J. (Eds.). (2015). The BRICS journalist: Profession and practice in the age of digital media [Special Issue]. African Journalism Studies, 36(3).

Pasti, S., & Ramaprasad, J. (2016). Digitalization and journalists in the BRICS countries. Brazilian Journalism Research, 12, 12-33.

Ramaprasad, J., Gudipaty, N., & Vemula, R. V. (2015). Indian journalists: Personal passion, organizational dynamics, and environmental forces. African Journalism Studies, 36(3), 61-86.

Pasti, S., & Ramaprasad, J. (2015). The BRICS journalist within the changing dynamics of the early 21st century [Editorial]. African Journalism Studies, 36(3), 1-7.

Pasti, S., & Ramaprasad, J. (Eds.). (2018). Contemporary BRICS Journalism: Non-Western Media in Transition. NY: Routledge.

Pasti, S., & Ramaprasad, J. (2017). Introduction: Why BRICS journalism matters. In S. Pasti, & J. Ramaprasad (Eds.), Contemporary BRICS journalism: Non-Western media in transition (pp. 1-20). NY: Routledge.

Ramaprasad, J., Pasti, S., Paulino, F. O., Zhou, R., & Ndlovu, M. (2017). Professionalism: Continuities and change. In S. Pasti, & J. Ramaprasad (Eds.), Contemporary BRICS journalism: Non-Western media in transition (pp. 23-48). NY: Routledge.

Wasserman, H., Ramaprasad, J., Sodré, M., Anikina, M., Vemula, R. K., & Xu, Y. (2017). Newsmaking: Navigating digital territory. In S. Pasti, & J. Ramaprasad (Eds.), Contemporary BRICS journalism: Non-Western media in transition (pp. 49-71). NY: Routledge.

Ramaprasad, J., Ji, D., Zhou, R., Paulino, F. O., Pasti, S., Gavra, D., Wasserman, H., & Ndlovu, M. (2017). Ethics: Ideals and realities. In S. Pasti, & J. Ramaprasad (Eds.), Contemporary BRICS journalism: Non-Western media in transition (pp. 72-103). NY: Routledge.

Gudipaty, N., Ramaprasad, J., Pasti, S., Lago, C., Li, X., & Rodny-Gumede, Y. (2017). Gender: Towards equality? In S. Pasti, & J. Ramaprasad (Eds.), Contemporary BRICS journalism: Non-Western media in transition (pp. 104-129). NY: Routledge.","South Africa","Research"
"Journalism in Insecure Democracies","Collaboration with colleagues in Mexico, El Salvador, Colombia and South Africa to research and write the research article, ""Expanding Influences Research to Insecure Democracies: How Violence, Public Insecurity, Economic Inequality, and Uneven Democratic Performance Shape Journalists’ Perceived Work"".

Abstract
Democracies with sharp violence and public insecurity have proliferated in recent decades, with many also featuring extreme economic inequality. These conditions have not been explicitly considered in comparative research on journalists’ work environments, an omission that may obscure important realities of contemporary journalism. We address this gap through an analysis of journalist surveys in 62 countries. We confirm the existence of insecure democracies as an empirical phenomenon and begin to unravel their meaning for journalists. We find democracies with uneven democratic performance tend to have more journalist assassinations, which is the most extreme form of influence on work, and that levels of democratic performance, violence, public insecurity, and economic inequality significantly shape how journalists perceive various influences in their work environment. Case studies of insecure democracies in Africa and Latin America address why these conditions sometimes (but not always) lead to journalist assassinations and other anti-press violence. They suggest anti-press violence is higher when sub-national state actors intensify criminal violence and when insecurity is geographically and topically proximate to journalists. How journalists perceive influences on work are therefore more complex and multidimensional than previous research has suggested. The study concludes by identifying areas for improvement in data collection. 

Learn More @ https://www.tandfonline.com/doi/abs/10.1080/1461670X.2016.1266278","South Africa","Research"
"Cops and Rubbers research study","In 2016, Professor Lien Tran and then PhD student (Dr. Soroya McFarlane) conducted funded qualitative research in Cape Town, South Africa, using Professor Tran’s game “Cops and Rubbers” and the Open Society Foundations report “Criminalizing Condoms” to compare creative v. standard methods of advocacy. The findings of the study resulted in a white paper, available on the School of Communication website. The research was funded by Open Society Foundations (OSF).","South Africa","Research"
"Coverage of Immigrant Africans in South African Newspapers","This study was a content analysis of the coverage of immigrant Africans in South Africa. It was set in the context of the xenophobic violence against immigrant Africans.","South Africa","Research"
"Princess of Girona 10th Anniversary Conferences","Dr. Alberto Cairo delivered a presentation about his latest book, 'How Charts Lie', which was attended by the King and the Princes of Spain.Media coverage of the events: https://www.lavanguardia.com/vida/20190909/47256254532/la-fundacion-princesa-de-girona-centra-en-los-jovenes-su-decimo-aniversario.html","Spain","Service Activities"
"Study Abroad London, Galapagos Islands, Sweden","Created and led study abroad programs in London, Galapagos, Sweden beginning in 2010","Sweden","Education"
"Short film for UN Water and Stockholm International Water Institute","Professor Sanjeev Chatterjee was commissioned by UN Water and the Stockholm International Water Institute to create a short film on the global water crisis for a special screening at the Water Prize celebrations in Stockholm in 2016. Existing footage from Professor Chatterjee's previous work One Water was combined with new footage to create this film. The film can be seen at: 

https://youtu.be/jcTWQgZytfE","Sweden","Research"
"Higher Education Video Game Alliance (HEVGA)","Our mission is to create a platform for higher education leaders which will underscore the cultural, scientific, and economic importance of video game programs in colleges and universities. The key is to create a robust network of resources—including unified advocacy, policymaker engagement, media coverage, and external funding—in order to incubate and harness the impact of this community in a 21st-century learning environment.  HEVGA has a network of more than 175 global member institutions, issues annual reports on the global state of game focused education, and conducts workshops, training, and events to support game educators.

Learn more at https://hevga.org/about/","Sweden","Service Activities"
